country,dog,cat,bird,aquaria,small-mammal,terraria
India,10200000.0,,,,,
China,27400000.0,53100000.0,,,,
United States,69929000.0,74059000.0,8300000.0,,,
Brazil,,,191001000.0,,,
Russia,,23150000.0,3280000.0,3750000.0,6601000,1076000.0
Ethiopia,5000000.0,,,,,
Japan,12000000.0,7300000.0,,,,
Philippines,11600000.0,,,,,
Turkey,1386000.0,4660000.0,11291000.0,850000.0,808000,157000.0
Germany,10600000.0,15200000.0,4900000.0,2300000.0,4900000,1300000.0
United Kingdom,13000000.0,12000000.0,1600000.0,8000000.0,,2200000.0
France,7600000.0,14900000.0,5800000.0,1252000.0,2800000,2100000.0
South Africa,7400000.0,2000000.0,,,,
Italy,8755000.0,10228000.0,12882000.0,1500000.0,1816000,1366000.0
Spain,9313000.0,5859000.0,6991000.0,691000.0,1523000,1464000.0
Argentina,9200000.0,3000000.0,,,,
Poland,8019000.0,7125000.0,1144000.0,380000.0,1217000,215000.0
Ukraine,4984000.0,7630000.0,784000.0,450000.0,899000,903000.0
Australia,3700000.0,2200000.0,7800000.0,,,
Romania,,4371000.0,292000.0,150000.0,93000,32000.0
Netherlands,1500000.0,1900000.0,230000.0,339000.0,346000,59000.0
Belgium,2029000.0,2536000.0,331000.0,320000.0,1026000,160000.0
Sweden,1044000.0,1703000.0,309000.0,260000.0,494000,60000.0
Czech Republic,2211000.0,1364000.0,69000.0,80000.0,,5000.0
Greece,657000.0,608000.0,974000.0,90000.0,417000,6000.0
Portugal,2605000.0,1795000.0,641000.0,83000.0,218000,39000.0
Hungary,2172000.0,2388000.0,412000.0,90000.0,398000,60000.0
Austria,766000.0,0.0,195000.0,310000.0,508 000\r,129000.0
Switzerland,554000.0,1793000.0,304000.0,380000.0,655000,27000.0
Bulgaria,750000.0,815000.0,45000.0,70000.0,60000,14000.0
Denmark,617000.0,669000.0,202000.0,280000.0,373000,110000.0
Slovakia,,540000.0,32000.0,51000.0,46000,4000.0
Finland,781000.0,982000.0,56000.0,40000.0,157000,29000.0
Norway,494000.0,783000.0,195000.0,125000.0,169000,94000.0
Ireland,,355000.0,92000.0,27000.0,162000,20000.0
Lithuania,550000.0,605000.0,,,,
Slovenia,295000.0,455000.0,40000.0,35000.0,85000,3500.0
Latvia,270000.0,410000.0,,,,
Estonia,235000.0,290000.0,,,,
